dist,vel,acc
0, 0, 0.0005, 1
0.001, 1e-006, 0.002, 2
0.002, 4e-006, 0.0045, 3
0.003, 1e-005, 0.008, 4
0.004, 2e-005, 0.0125, 5
0.005, 3.5e-005, 0.018, 6
0.006, 5.6e-005, 0.0245, 7
0.007, 8.4e-005, 0.032, 8
0.008, 0.00012, 0.0405, 9
0.009, 0.000165, 0.05, 10
0.01, 0.00022, 0.0605, 11
0.011, 0.000286, 0.072, 12
0.012, 0.000364, 0.0845, 13
0.013, 0.000455, 0.098, 14
0.014, 0.00056, 0.1125, 15
0.015, 0.00068, 0.128, 16
0.016, 0.000816, 0.1445, 17
0.017, 0.000969, 0.162, 18
0.018, 0.00114, 0.1805, 19
0.019, 0.00133, 0.2, 20
0.02, 0.00154, 0.2205, 21
0.021, 0.001771, 0.242, 22
0.022, 0.002024, 0.2645, 23
0.023, 0.0023, 0.288, 24
0.024, 0.0026, 0.3125, 25
0.025, 0.002925, 0.338, 26
0.026, 0.003276, 0.3645, 27
0.027, 0.003654, 0.392, 28
0.028, 0.00406, 0.4205, 29
0.029, 0.004495, 0.45, 30
0.03, 0.00496, 0.4805, 31
0.031, 0.005456, 0.512, 32
0.032, 0.005984, 0.5445, 33
0.033, 0.006545, 0.578, 34
0.034, 0.00714, 0.6125, 35
0.035, 0.00777, 0.648, 36
0.036, 0.008436, 0.6845, 37
0.037, 0.009139, 0.722, 38
0.038, 0.00988, 0.7605, 39
0.039, 0.01066, 0.8, 40
0.04, 0.01148, 0.8405, 41
0.041, 0.012341, 0.882, 42
0.042, 0.013244, 0.9245, 43
0.043, 0.01419, 0.968, 44
0.044, 0.01518, 1.0125, 45
0.045, 0.016215, 1.058, 46
0.046, 0.017296, 1.1045, 47
0.047, 0.018424, 1.152, 48
0.048, 0.0196, 1.2005, 49
0.049, 0.020825, 1.25, 50
0.05, 0.0221, 1.3005, 51
0.051, 0.023426, 1.352, 52
0.052, 0.024804, 1.4045, 53
0.053, 0.026235, 1.458, 54
0.054, 0.02772, 1.5125, 55
0.055, 0.02926, 1.568, 56
0.056, 0.030856, 1.6245, 57
0.057, 0.032509, 1.682, 58
0.058, 0.03422, 1.7405, 59
0.059, 0.03599, 1.8, 60
0.06, 0.03782, 1.8605, 61
0.061, 0.039711, 1.922, 62
0.062, 0.041664, 1.9845, 63
0.063, 0.04368, 2.048, 64
0.064, 0.04576, 2.1125, 65
0.065, 0.047905, 2.178, 66
0.066, 0.050116, 2.2445, 67
0.067, 0.052394, 2.312, 68
0.068, 0.05474, 2.3805, 69
0.069, 0.057155, 2.45, 70
0.07, 0.05964, 2.5205, 71
0.071, 0.062196, 2.592, 72
0.072, 0.064824, 2.6645, 73
0.073, 0.067525, 2.738, 74
0.074, 0.0703, 2.8125, 75
0.075, 0.07315, 2.888, 76
0.076, 0.076076, 2.9645, 77
0.077, 0.079079, 3.042, 78
0.078, 0.08216, 3.1205, 79
0.079, 0.08532, 3.2, 80
0.08, 0.08856, 3.2805, 81
0.081, 0.091881, 3.362, 82
0.082, 0.095284, 3.4445, 83
0.083, 0.09877, 3.528, 84
0.084, 0.10234, 3.6125, 85
0.085, 0.105995, 3.698, 86
0.086, 0.109736, 3.7845, 87
0.087, 0.113564, 3.872, 88
0.088, 0.11748, 3.9605, 89
0.089, 0.121485, 4.05, 90
0.09, 0.12558, 4.14, 90
0.091, 0.129765, 4.23, 90
0.092, 0.13404, 4.32, 90
0.093, 0.138405, 4.41, 90
0.094, 0.14286, 4.5, 90
0.095, 0.147405, 4.59, 90
0.096, 0.15204, 4.68, 90
0.097, 0.156765, 4.77, 90
0.098, 0.16158, 4.86, 90
0.099, 0.166485, 4.95, 90
0.1, 0.17148, 5.04, 90
0.101, 0.176565, 5.13, 90
0.102, 0.18174, 5.22, 90
0.103, 0.187005, 5.31, 90
0.104, 0.19236, 5.4, 90
0.105, 0.197805, 5.49, 90
0.106, 0.20334, 5.58, 90
0.107, 0.208965, 5.67, 90
0.108, 0.21468, 5.76, 90
0.109, 0.220485, 5.85, 90
0.11, 0.22638, 5.94, 90
0.111, 0.232365, 6.03, 90
0.112, 0.23844, 6.12, 90
0.113, 0.244605, 6.21, 90
0.114, 0.25086, 6.3, 90
0.115, 0.257205, 6.39, 90
0.116, 0.26364, 6.48, 90
0.117, 0.270165, 6.57, 90
0.118, 0.27678, 6.66, 90
0.119, 0.283485, 6.75, 90
0.12, 0.29028, 6.84, 90
0.121, 0.297165, 6.93001, 90
0.122, 0.30414, 7.02001, 90
0.123, 0.311205, 7.11001, 90
0.124, 0.31836, 7.20001, 90
0.125, 0.325605, 7.29001, 90
0.126, 0.33294, 7.38001, 90
0.127, 0.340365, 7.47001, 90
0.128, 0.34788, 7.56001, 90
0.129, 0.355485, 7.65001, 90
0.13, 0.36318, 7.74001, 90
0.131, 0.370965, 7.83001, 90
0.132, 0.37884, 7.92001, 90
0.133, 0.386805, 8.01001, 90
0.134, 0.39486, 8.10001, 90
0.135, 0.403005, 8.19001, 90
0.136, 0.41124, 8.28001, 90
0.137, 0.419565, 8.37001, 90
0.138, 0.42798, 8.46001, 90
0.139, 0.436485, 8.55001, 90
0.14, 0.44508, 8.64001, 90
0.141, 0.453765, 8.73001, 90
0.142, 0.46254, 8.82001, 90
0.143, 0.471405, 8.91001, 90
0.144, 0.48036, 9.00001, 90
0.145, 0.489405, 9.09001, 90
0.146, 0.49854, 9.18001, 90
0.147, 0.507765, 9.27001, 90
0.148, 0.51708, 9.36001, 90
0.149, 0.526485, 9.45001, 90
0.15, 0.53598, 9.54001, 90
0.151, 0.545565, 9.63001, 90
0.152, 0.55524, 9.72001, 90
0.153, 0.565005, 9.81001, 90
0.154, 0.57486, 9.90001, 90
0.155, 0.584805, 9.99001, 90
0.156, 0.594841, 10.08, 90
0.157, 0.604966, 10.17, 90
0.158, 0.61518, 10.26, 90
0.159, 0.625485, 10.35, 90
0.16, 0.63588, 10.44, 90
0.161, 0.646365, 10.53, 90
0.162, 0.65694, 10.62, 90
0.163, 0.667605, 10.71, 90
0.164, 0.67836, 10.8, 90
0.165, 0.689205, 10.89, 90
0.166, 0.70014, 10.98, 90
0.167, 0.711165, 11.07, 90
0.168, 0.722281, 11.16, 90
0.169, 0.733486, 11.25, 90
0.17, 0.744781, 11.34, 90
0.171, 0.756166, 11.43, 90
0.172, 0.767641, 11.52, 90
0.173, 0.779206, 11.61, 90
0.174, 0.790861, 11.7, 90
0.175, 0.802606, 11.79, 90
0.176, 0.814441, 11.88, 90
0.177, 0.826366, 11.97, 90
0.178, 0.838381, 12.06, 90
0.179, 0.850486, 12.15, 90
0.18, 0.862681, 12.24, 90
0.181, 0.874966, 12.33, 90
0.182, 0.887341, 12.42, 90
0.183, 0.899806, 12.51, 90
0.184, 0.912361, 12.6, 90
0.185, 0.925006, 12.69, 90
0.186, 0.937741, 12.78, 90
0.187, 0.950566, 12.87, 90
0.188, 0.963481, 12.96, 90
0.189, 0.976486, 13.05, 90
0.19, 0.989581, 13.14, 90
0.191, 1.00277, 13.23, 90
0.192, 1.01604, 13.32, 90
0.193, 1.02941, 13.41, 90
0.194, 1.04286, 13.5, 90
0.195, 1.05641, 13.59, 90
0.196, 1.07004, 13.68, 90
0.197, 1.08377, 13.77, 90
0.198, 1.09758, 13.86, 90
0.199, 1.11149, 13.95, 90
0.2, 1.12548, 14.04, 90
0.201, 1.13957, 14.13, 90
0.202, 1.15374, 14.22, 90
0.203, 1.16801, 14.31, 90
0.204, 1.18236, 14.4, 90
0.205, 1.19681, 14.49, 90
0.206, 1.21134, 14.58, 90
0.207, 1.22597, 14.67, 90
0.208, 1.24068, 14.76, 90
0.209, 1.25549, 14.85, 90
0.21, 1.27038, 14.94, 90
0.211, 1.28537, 15.03, 90
0.212, 1.30044, 15.12, 90
0.213, 1.31561, 15.21, 90
0.214, 1.33086, 15.3, 90
0.215, 1.34621, 15.39, 90
0.216, 1.36164, 15.48, 90
0.217, 1.37717, 15.57, 90
0.218, 1.39278, 15.66, 90
0.219, 1.40849, 15.75, 90
0.22, 1.42428, 15.84, 90
0.221, 1.44017, 15.93, 90
0.222, 1.45614, 16.02, 90
0.223, 1.47221, 16.11, 90
0.224, 1.48836, 16.2, 90
0.225, 1.50461, 16.29, 90
0.226, 1.52094, 16.38, 90
0.227, 1.53737, 16.47, 90
0.228, 1.55388, 16.56, 90
0.229, 1.57049, 16.65, 90
0.23, 1.58718, 16.74, 90
0.231, 1.60397, 16.83, 90
0.232, 1.62084, 16.92, 90
0.233, 1.63781, 17.01, 90
0.234, 1.65486, 17.1, 90
0.235, 1.67201, 17.19, 90
0.236, 1.68924, 17.28, 90
0.237, 1.70657, 17.37, 90
0.238, 1.72398, 17.46, 90
0.239, 1.74149, 17.55, 90
0.24, 1.75908, 17.64, 90
0.241, 1.77677, 17.73, 90
0.242, 1.79454, 17.82, 90
0.243, 1.81241, 17.91, 90
0.244, 1.83036, 18, 90
0.245, 1.84841, 18.09, 90
0.246, 1.86654, 18.18, 90
0.247, 1.88477, 18.27, 90
0.248, 1.90308, 18.36, 90
0.249, 1.92149, 18.45, 90
0.25, 1.93998, 18.54, 90
0.251, 1.95857, 18.63, 90
0.252, 1.97724, 18.72, 90
0.253, 1.99601, 18.81, 90
0.254, 2.01486, 18.9, 90
0.255, 2.03381, 18.99, 90
0.256, 2.05284, 19.08, 90
0.257, 2.07197, 19.17, 90
0.258, 2.09118, 19.26, 90
0.259, 2.11049, 19.35, 90
0.26, 2.12988, 19.44, 90
0.261, 2.14937, 19.53, 90
0.262, 2.16894, 19.62, 90
0.263, 2.18861, 19.71, 90
0.264, 2.20836, 19.8, 90
0.265, 2.22821, 19.89, 90
0.266, 2.24814, 19.98, 90
0.267, 2.26817, 20.07, 90
0.268, 2.28828, 20.16, 90
0.269, 2.30849, 20.25, 90
0.27, 2.32878, 20.34, 90
0.271, 2.34917, 20.43, 90
0.272, 2.36964, 20.52, 90
0.273, 2.39021, 20.61, 90
0.274, 2.41086, 20.7, 90
0.275, 2.43161, 20.79, 90
0.276, 2.45244, 20.88, 90
0.277, 2.47337, 20.97, 90
0.278, 2.49438, 21.06, 90
0.279, 2.51549, 21.15, 90
0.28, 2.53668, 21.24, 90
0.281, 2.55797, 21.33, 90
